BIZ,DEP,SEC,Module,Code_Course,Course_Content,Course_Name,Position
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-027,"ทักษะการจัดการระบบเครือข่ายเทคโนโลยีสารสนเทศ 
(Inf","ทักษะการจัดการระบบเครือข่ายเทคโนโลยีสารสนเทศ 
(Inf",EXE
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-028,"ทักษะการจัดการระบบปฎิบัติการ เซิร์ฟเวอร์ และฮาร์ดแ","ทักษะการจัดการระบบปฎิบัติการ เซิร์ฟเวอร์ และฮาร์ดแ",EXE
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-031,"ทักษะการบริหารจัดการโครงการด้าน IT
(Project Manage","ทักษะการบริหารจัดการโครงการด้าน IT
(Project Manage",EXE
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-035,"ทักษะการพัฒนาแอปพลิเคชั่น/โปรแกรม 
(Application & ","ทักษะการพัฒนาแอปพลิเคชั่น/โปรแกรม 
(Application & ",EXE
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-040,"ทักษะการออกแบบและบริหารจัดการฐานข้อมูล 
(Database ","ทักษะการออกแบบและบริหารจัดการฐานข้อมูล 
(Database ",EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-ACH-001,"Achievement Orientation","Achievement Orientation",EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-AT-002,"Analytical Thinking","Analytical Thinking",EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-CL-003,"Change Leadership","Change Leadership",EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-CSO-004,"Customer Service Orientation","Customer Service Orientation",EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-INT-005,Initiatieve,Initiatieve,EXE
BIZ,IT,ERP,"Core - Competency Skill",CC-TW-006,"Teamwork and cooperation ","Teamwork and cooperation ",EXE
BIZ,IT,ERP,"Functional - Competency Skill",FC-CT-001,"Conceptual Thinking","Conceptual Thinking",EXE
BIZ,IT,ERP,"Functional - Competency Skill",FC-COQ-002,"Concern for Ordeer and Quality","Concern for Ordeer and Quality",EXE
BIZ,IT,ERP,"Functional - Competency Skill",FC-INF-004,"Information Seeking","Information Seeking",EXE
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-1,"Team Leadership ( TL)"," - Positive psychology for leadership",EXE
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-2,"Team Leadership ( TL)"," - Problem solving & decision making",EXE
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-3,"Team Leadership ( TL)"," - Emotional intelligence for leadership",EXE
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-DEV-002-1,"Developing Other"," - People development and developing employees cap",EXE
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-DEV-002-2,"Developing Other"," - Coaching Skill",EXE
BIZ,IT,ERP,"Basic Skill",IT-002,"Progress Database Admin","Progress Database Admin",EXE
BIZ,IT,ERP,"Basic Skill",IT-002,"Performance Monitor & Tuning","Performance Monitor & Tuning",EXE
BIZ,IT,ERP,"Basic Skill",IT-003,"MFG/PRO Manager Function","MFG/PRO Manager Function",EXE
BIZ,IT,ERP,"Basic Skill",IT-004,"MFG/PRO System Admin","MFG/PRO System Admin",EXE
BIZ,IT,ERP,"Basic Skill",IT-005,"MFG/PRO Manager Function Enhance","MFG/PRO Manager Function Enhance",EXE
BIZ,IT,ERP,"Basic Skill",IT-006,"MFG/PRO Overview","MFG/PRO Overview",EXE
BIZ,IT,ERP,"Basic Skill",IT-007,"PROGRESS Programming fundamental","PROGRESS Programming fundamental",EXE
BIZ,IT,ERP,"Basic Skill",IT-008,"PROGRESS Programming Advance","PROGRESS Programming Advance",EXE
BIZ,IT,ERP,"Basic Skill",IT-009,"Customization MFG/PRO","Customization MFG/PRO",EXE
BIZ,IT,ERP,"SHE & Q Skill",SHE-001,"การอบรมดับเพลิงขั้นต้น ( Basic Fire Fighting ) ","การอบรมดับเพลิงขั้นต้น ( Basic Fire Fighting ) ",EXE
BIZ,IT,ERP,"SHE & Q Skill",SHE-002,"Safety for new comer ( ความรู้เรื่องความปลอดภัยในก",ความรู้เรื่องความปลอดภัยในการทำงานสำหรับพนักงานใหม,EXE
BIZ,IT,ERP,"SHE & Q Skill",SHE-004,"Safety Officer for Supervisor (จป.หัวหน้างาน )","เจ้าหน้าที่ความปลอดภัยในการทำงานระดับหัวหน้างาน (S",EXE
BIZ,IT,ERP,"SHE & Q Skill",SHE-005,"Safety Officer for Management (จป.บริหาร )","เจ้าหน้าที่ความปลอดภัยในการทำงานระดับบริหาร (Safet",EXE
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-027,"ทักษะการจัดการระบบเครือข่ายเทคโนโลยีสารสนเทศ 
(Inf","ทักษะการจัดการระบบเครือข่ายเทคโนโลยีสารสนเทศ 
(Inf",Sr.Staff
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-028,"ทักษะการจัดการระบบปฎิบัติการ เซิร์ฟเวอร์ และฮาร์ดแ","ทักษะการจัดการระบบปฎิบัติการ เซิร์ฟเวอร์ และฮาร์ดแ",Sr.Staff
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-031,"ทักษะการบริหารจัดการโครงการด้าน IT
(Project Manage","ทักษะการบริหารจัดการโครงการด้าน IT
(Project Manage",Sr.Staff
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-035,"ทักษะการพัฒนาแอปพลิเคชั่น/โปรแกรม 
(Application & ","ทักษะการพัฒนาแอปพลิเคชั่น/โปรแกรม 
(Application & ",Sr.Staff
BIZ,IT,ERP,"Technical Skill ( Job Family )",TC-040,"ทักษะการออกแบบและบริหารจัดการฐานข้อมูล 
(Database ","ทักษะการออกแบบและบริหารจัดการฐานข้อมูล 
(Database ",Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-ACH-001,"Achievement Orientation","Achievement Orientation",Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-AT-002,"Analytical Thinking","Analytical Thinking",Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-CL-003,"Change Leadership","Change Leadership",Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-CSO-004,"Customer Service Orientation","Customer Service Orientation",Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-INT-005,Initiatieve,Initiatieve,Sr.Staff
BIZ,IT,ERP,"Core - Competency Skill",CC-TW-006,"Teamwork and cooperation ","Teamwork and cooperation ",Sr.Staff
BIZ,IT,ERP,"Functional - Competency Skill",FC-CT-001,"Conceptual Thinking","Conceptual Thinking",Sr.Staff
BIZ,IT,ERP,"Functional - Competency Skill",FC-COQ-002,"Concern for Ordeer and Quality","Concern for Ordeer and Quality",Sr.Staff
BIZ,IT,ERP,"Functional - Competency Skill",FC-INF-004,"Information Seeking","Information Seeking",Sr.Staff
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-1,"Team Leadership ( TL)"," - Positive psychology for leadership",Sr.Staff
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-2,"Team Leadership ( TL)"," - Problem solving & decision making",Sr.Staff
BIZ,IT,ERP,"Leadership Skill ( Managerial Competency )",MC-TL-001-3,"Team Leadership ( TL)"," - Emotional intelligence for leadership",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-001,"Progress Database Admin","Progress Database Admin",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-003,"MFG/PRO Manager Function","MFG/PRO Manager Function",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-004,"MFG/PRO System Admin","MFG/PRO System Admin",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-006,"MFG/PRO Overview","MFG/PRO Overview",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-007,"PROGRESS Programming fundamental","PROGRESS Programming fundamental",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-008,"PROGRESS Programming Advance","PROGRESS Programming Advance",Sr.Staff
BIZ,IT,ERP,"Basic Skill",IT-009,"Customization MFG/PRO","Customization MFG/PRO",Sr.Staff
BIZ,IT,ERP,"SHE & Q Skill",SHE-001,"การอบรมดับเพลิงขั้นต้น ( Basic Fire Fighting ) ","การอบรมดับเพลิงขั้นต้น ( Basic Fire Fighting ) ",Sr.Staff
BIZ,IT,ERP,"SHE & Q Skill",SHE-002,"Safety for new comer ( ความรู้เรื่องความปลอดภัยในก",ความรู้เรื่องความปลอดภัยในการทำงานสำหรับพนักงานใหม,Sr.Staff
BIZ,IT,ERP,"SHE & Q Skill",SHE-004,"Safety Officer for Supervisor (จป.หัวหน้างาน )","เจ้าหน้าที่ความปลอดภัยในการทำงานระดับหัวหน้างาน (S",Sr.Staff
